,lesson #,series number,problems number,total_len
1,1,1,5,2411
2,2,6,26,5932
3,3,8,34,6947
4,4,2,10,5434
5,5,4,24,8533
6,6,9,21,7171
7,7,8,23,4537
8,8,6,17,7203
9,9,7,21,6725
10,10,6,16,10829
11,11,7,16,11880
12,12,3,27,17714
